Cycle,Crack Size,da/dN,a/W,Date,Time,Pmax,Pmin,Delta P,R ratio,Kmax,Kmin,Delta K,Compliance,COD max,COD min,SP-Pmax,SP-Pmin,Step,Frequency,Baseline Pmin,Baseline Delta K, Remarks,1% Sop/Smax,2% Sop/Smax,4% Sop/Smax,1% Delta Keff,2% Delta Keff,4% Delta Keff
100880,10.044,4E-07,0.394,27-Dec-19,14:43:31,1.748,0,1.748,0,12.676,-0.002,12.676,0.028474,0.032,-0.018,1.75,0,0,50,0,12.676,,0.448,0.466,0,6.997,6.77,12.676
100984,10.044,4E-07,0.394,27-Dec-19,14:43:33,1.746,0.003,1.743,0.002,12.667,0.021,12.646,0.028547,0.032,-0.018,1.75,0,0,50,0,12.667,,0.456,0.476,0,6.895,6.643,12.667
101088,10.044,4E-07,0.394,27-Dec-19,14:43:35,1.752,0.002,1.75,0.001,12.701,0.014,12.687,0.02843,0.032,-0.018,1.75,0,0,50,0,12.701,,0.293,0.302,0,8.976,8.86,12.701
101192,10.044,4E-07,0.395,27-Dec-19,14:43:38,1.746,0.002,1.744,0.001,12.686,0.014,12.672,0.028502,0.032,-0.018,1.75,0,0,50,0,12.686,,0.406,0.436,0,7.538,7.158,12.686
101296,10.044,4E-07,0.395,27-Dec-19,14:43:40,1.753,0.003,1.75,0.002,12.757,0.023,12.734,0.028817,0.032,-0.018,1.75,0,0,50,0,12.757,,0.446,0.465,0,7.064,6.82,12.757
101348,10.053,5E-07,0.396,27-Dec-19,14:43:41,1.746,0,1.746,0,12.722,0.003,12.719,0.028812,0.032,-0.018,1.75,0,0,50,0,12.722,,0.424,0.443,0.481,7.328,7.085,6.598
101400,10.053,5E-07,0.395,27-Dec-19,14:43:42,1.754,-0.001,1.754,0,12.741,-0.005,12.741,0.028344,0.032,-0.018,1.75,0,0,50,0,12.741,,0.308,0.48,0,8.819,6.624,12.741
101504,10.053,5E-07,0.395,27-Dec-19,14:43:44,1.752,0.003,1.749,0.002,12.733,0.024,12.709,0.029049,0.032,-0.018,1.75,0,0,50,0,12.733,,0.452,0.488,0,6.973,6.523,12.733
101608,10.053,5E-07,0.394,27-Dec-19,14:43:46,1.755,-0.001,1.757,-0.001,12.725,-0.008,12.725,0.028185,0.032,-0.018,1.75,0,0,50,0,12.725,,0.305,0.724,0.775,8.838,3.514,2.863
101712,10.053,5E-07,0.395,27-Dec-19,14:43:48,1.752,0.003,1.75,0.002,12.728,0.019,12.708,0.028558,0.033,-0.018,1.75,0,0,50,0,12.728,,0.431,0.453,0,7.244,6.961,12.728
